border_fraction,attended_pixel_count,overlap_precision,overlap_recall,chance_precision,enrichment,fold,dataset,patient_id,slice_index
0.24208984375,20480,,,,,0,MSD,pancreas_253,38
0.4404296875,20480,,,,,0,MSD,pancreas_249,278
0.445458984375,20480,,,,,0,MSD,pancreas_246,228
0.09765625,20480,0.0,0.0,0.012119140625,0.0,1,MSD,pancreas_095,79
0.052490234375,20480,,,,,1,MSD,pancreas_182,1
0.12861328125,20480,0.0,0.0,0.01232421875,0.0,1,MSD,pancreas_095,75
0.22646484375,20480,,,,,1,MSD,pancreas_218,25
0.272607421875,20480,,,,,1,MSD,pancreas_398,217
0.1376953125,20480,,,,,1,MSD,pancreas_095,44
0.411083984375,20480,0.0,0.0,0.028984375,0.0,1,MSD,pancreas_092,332
0.081689453125,20480,0.0,0.0,0.005400390625,0.0,1,MSD,pancreas_316,85
0.229833984375,20480,,,,,1,MSD,pancreas_217,264
0.121533203125,20480,,,,,1,MSD,pancreas_358,93
0.31708984375,20480,0.0,0.0,0.009619140625,0.0,1,MSD,pancreas_398,85
0.1783203125,20480,,,,,1,MSD,pancreas_124,145
0.35419921875,20480,,,,,1,MSD,pancreas_092,203
0.19365234375,20480,0.0,0.0,0.0199609375,0.0,1,MSD,pancreas_194,143
0.1220703125,20480,,,,,1,MSD,pancreas_301,52
0.181689453125,20480,,,,,1,MSD,pancreas_301,110
0.103662109375,20480,,,,,1,MSD,pancreas_358,198
0.07763671875,20480,,,,,1,MSD,pancreas_182,141
0.07749743789956566,20491,,,,,1,MSD,pancreas_001,169
0.0478515625,20480,0.0,0.0,0.01068359375,0.0,1,MSD,pancreas_194,105
0.036962890625,20480,,,,,1,MSD,pancreas_357,52
0.118212890625,20480,,,,,1,MSD,pancreas_355,205
0.110888671875,20480,,,,,1,MSD,pancreas_358,126
0.022119140625,20480,0.0,0.0,0.00654296875,0.0,1,MSD,pancreas_361,186
0.201611328125,20480,0.0,0.0,0.005859375,0.0,1,MSD,pancreas_398,73
0.1328125,20480,,,,,1,MSD,pancreas_320,154
0.0751953125,20480,0.0,0.0,0.005400390625,0.0,1,MSD,pancreas_316,86
0.1794921875,20480,,,,,1,MSD,pancreas_140,218
0.219140625,20480,,,,,1,MSD,pancreas_393,22
0.03017578125,20480,0.0,0.0,0.011884765625,0.0,1,MSD,pancreas_137,129
0.102099609375,20480,0.0,0.0,0.001484375,0.0,1,MSD,pancreas_231,72
0.16845703125,20480,,,,,1,MSD,pancreas_415,301
0.50986328125,20480,,,,,1,MSD,pancreas_091,110
0.174072265625,20480,0.0,0.0,0.00482421875,0.0,1,MSD,pancreas_416,305
0.033740234375,20480,,,,,1,MSD,pancreas_137,19
0.128369140625,20480,0.0,0.0,0.00203125,0.0,1,MSD,pancreas_358,300
0.18369140625,20480,,,,,1,MSD,pancreas_310,19
0.110888671875,20480,0.0,0.0,0.007607421875,0.0,1,MSD,pancreas_084,44
0.20615234375,20480,,,,,1,MSD,pancreas_416,436
0.1859375,20480,0.0,0.0,0.017138671875,0.0,1,MSD,pancreas_358,324
0.377783203125,20480,0.0,0.0,0.009677734375,0.0,2,MSD,pancreas_213,99
0.14404296875,20480,,,,,2,MSD,pancreas_106,127
0.149560546875,20480,,,,,2,MSD,pancreas_327,22
0.24208984375,20480,,,,,2,MSD,pancreas_032,170
0.183642578125,20480,0.0,0.0,0.029599609375,0.0,2,MSD,pancreas_032,103
0.14248046875,20480,,,,,2,MSD,pancreas_344,76
0.18232421875,20480,,,,,2,MSD,pancreas_032,198
0.117236328125,20480,,,,,2,MSD,pancreas_296,148
0.16931784912657363,20494,0.0,0.0,0.0047265625,0.0,2,MSD,pancreas_064,105
0.315869140625,20480,,,,,2,MSD,pancreas_376,53
0.228173828125,20480,,,,,2,MSD,pancreas_155,50
0.1588734869191722,20488,,,,,2,MSD,pancreas_225,14
0.26494140625,20480,,,,,2,MSD,pancreas_395,401
0.310888671875,20480,,,,,2,MSD,pancreas_303,17
0.429931640625,20480,0.0,0.0,0.002236328125,0.0,2,MSD,pancreas_211,93
